Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Allsvenskan,14,Sat,2024-07-13,17:30,Sirius,3–1,GAIS,5170,Studenternas IP,,Match Report,
Allsvenskan,14,Sun,2024-07-14,14:00,Djurgården,1–0,Värnamo,17788,Tele2 Arena,,Match Report,
Allsvenskan,14,Sun,2024-07-14,16:30,Kalmar,0–1,Brommapojkarna,5508,Guldfågeln Arena,,Match Report,
Allsvenskan,14,Sun,2024-07-14,16:30,BK Häcken,3–5,Elfsborg,6177,Bravida Arena,,Match Report,
Allsvenskan,14,Sun,2024-07-14,16:30,Västerås,2–1,Norrköping,6086,Hitachi Energy Arena,Victor Wolf,Match Report,
Allsvenskan,14,Mon,2024-07-15,19:00,Hammarby,0–1,Göteborg,26062,Tele2 Arena,,Match Report,
Allsvenskan,14,Mon,2024-07-15,19:00,Halmstad,1–2,AIK Stockholm,10504,Örjans Vall,,Match Report,
,,,,,,,,,,,,
Allsvenskan,15,Fri,2024-07-19,19:00,Sirius,3–4,Malmö,7695,Studenternas IP,Adam Ladebäck,Match Report,
Allsvenskan,15,Sat,2024-07-20,15:00,Kalmar,2–1,Djurgården,9634,Guldfågeln Arena,Richard Sundell,Match Report,
Allsvenskan,15,Sat,2024-07-20,15:00,Värnamo,2–2,BK Häcken,1493,Finnvedsvallen,Joakim Östling,Match Report,
Allsvenskan,15,Sat,2024-07-20,17:30,Brommapojkarna,0–2,Hammarby,3657,Grimsta IP,Mohammed Al Hakim,Match Report,
Allsvenskan,15,Sun,2024-07-21,14:00,Norrköping,1–0,Halmstad,5367,PlatinumCars Arena,Erik Mattsson,Match Report,
Allsvenskan,15,Sun,2024-07-21,16:30,Göteborg,1–1,Västerås,17137,Nya Gamla Ullevi,Fredrik Klitte,Match Report,
Allsvenskan,15,Sun,2024-07-21,16:30,Elfsborg,3–1,Mjällby,6121,Borås Arena,Granit Maqedonci,Match Report,
Allsvenskan,15,Mon,2024-07-22,19:00,GAIS,2–0,AIK Stockholm,11823,Nya Gamla Ullevi,,Match Report,
,,,,,,,,,,,,
Allsvenskan,16,Sat,2024-07-27,15:00,Norrköping,2–0,Kalmar,6919,PlatinumCars Arena,,Match Report,
Allsvenskan,16,Sat,2024-07-27,17:30,Malmö,0–1,Sirius,19178,Eleda Stadion,Joakim Östling,Match Report,
