Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,17,Sun,2024-08-04,17:00,HamKam,3–3,Viking,3504,Briskeby Arena,Christian Moen,Match Report,
Eliteserien,17,Sun,2024-08-04,17:00,Fredrikstad,0–0,KFUM Oslo,7616,Nye Fredrikstad Stadion,Mathias Støfringshaug,Match Report,
Eliteserien,17,Sun,2024-08-04,17:00,Sarpsborg 08,2–1,Sandefjord,4610,Sarpsborg Stadion,Ola Nilsen,Match Report,
Eliteserien,17,Sun,2024-08-04,19:15,Rosenborg,1–0,Tromsø,11602,Lerkendal Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,18,Fri,2024-08-09,19:00,Sandefjord,2–2,Strømsgodset,6598,Jotun Arena,,Match Report,
Eliteserien,18,Sat,2024-08-10,16:00,Haugesund,0–1,HamKam,3678,Haugesund Stadion,Marius Grøtta,Match Report,
Eliteserien,18,Sat,2024-08-10,18:00,Viking,1–1,Bodø/Glimt,14976,SR-Bank Arena,,Match Report,
Eliteserien,18,Sun,2024-08-11,17:00,Odd,1–1,Sarpsborg 08,4417,Skagerak Arena,,Match Report,
Eliteserien,18,Sun,2024-08-11,17:00,KFUM Oslo,1–0,Rosenborg,3300,KFUM Arena,,Match Report,
Eliteserien,18,Sun,2024-08-11,19:15,Lillestrøm,1–2,Molde,6403,Åråsen Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,12,Wed,2024-08-14,19:00,Fredrikstad,1–0,Haugesund,6369,Nye Fredrikstad Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,19,Sat,2024-08-17,18:00,Strømsgodset,3–2,Lillestrøm,5006,Marienlyst Stadion,,Match Report,
Eliteserien,19,Sun,2024-08-18,14:30,Fredrikstad,0–4,Brann,9147,Nye Fredrikstad Stadion,Rohit Saggi,Match Report,
Eliteserien,19,Sun,2024-08-18,17:00,Sarpsborg 08,2–2,Haugesund,4493,Sarpsborg Stadion,,Match Report,
Eliteserien,19,Sun,2024-08-18,17:00,HamKam,1–0,Odd,4209,Briskeby Arena,,Match Report,
Eliteserien,19,Sun,2024-08-18,17:00,KFUM Oslo,0–1,Tromsø,2640,KFUM Arena,,Match Report,
Eliteserien,19,Sun,2024-08-18,19:15,Rosenborg,2–1,Viking,12218,Lerkendal Stadion,Espen Eskås,Match Report,
,,,,,,,,,,,,
Eliteserien,15,Wed,2024-08-21,19:00,Rosenborg,4–0,Lillestrøm,,Lerkendal Stadion,Ola Nilsen,Match Report,
,,,,,,,,,,,,
Eliteserien,20,Sat,2024-08-24,16:00,Bodø/Glimt,6–0,Sarpsborg 08,6223,Aspmyra Stadion,Daniel Higraff,Match Report,
Eliteserien,20,Sun,2024-08-25,14:30,Lillestrøm,0–1,Tromsø,7315,Åråsen Stadion,,Match Report,
Eliteserien,20,Sun,2024-08-25,17:00,Sandefjord,1–0,Kristiansund,3359,Jotun Arena,Mathias Støfringshaug,Match Report,
Eliteserien,20,Sun,2024-08-25,17:00,Haugesund,1–0,Fredrikstad,5550,Haugesund Stadion,Tore Hansen,Match Report,
Eliteserien,20,Sun,2024-08-25,17:00,Molde,3–0,HamKam,6433,Aker Stadion,,Match Report,
Eliteserien,20,Sun,2024-08-25,17:00,Viking,5–2,Strømsgodset,10211,SR-Bank Arena,,Match Report,
Eliteserien,20,Sun,2024-08-25,19:15,Odd,1–3,Rosenborg,5048,Skagerak Arena,Svein Sinnes,Match Report,
,,,,,,,,,,,,
Eliteserien,21,Fri,2024-08-30,19:00,KFUM Oslo,2–0,Lillestrøm,3216,KFUM Arena,Rohit Saggi,Match Report,
Eliteserien,21,Sat,2024-08-31,18:00,Fredrikstad,2–0,Odd,5976,Nye Fredrikstad Stadion,Marius Grøtta,Match Report,
Eliteserien,21,Sun,2024-09-01,17:00,Kristiansund,2–2,Haugesund,3927,Nordmøre Stadion,Mohammad Aslam,Match Report,
Eliteserien,21,Sun,2024-09-01,17:00,Rosenborg,2–1,Molde,21426,Lerkendal Stadion,Tore Hansen,Match Report,
Eliteserien,21,Sun,2024-09-01,17:00,Tromsø,2–2,Viking,4807,Romssa Arena,Kristoffer Hagenes,Match Report,
Eliteserien,21,Sun,2024-09-01,17:00,Strømsgodset,0–1,Bodø/Glimt,5380,Marienlyst Stadion,Christian Moen,Match Report,
