Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
14,Sat,2026-12-12,,Gent,,Sint-Truiden,,Planet Group Arena,,Head-to-Head,
14,Sat,2026-12-12,,Zulte Waregem,,Standard Liège,,Elindus Arena,,Head-to-Head,
14,Sat,2026-12-12,,Kortrijk,,Lommel,,,,Head-to-Head,
14,Sat,2026-12-12,,Genk,,OH Leuven,,Cegeka Arena,,Head-to-Head,
14,Sat,2026-12-12,,Anderlecht,,Charleroi,,Lotto Park,,Head-to-Head,
14,Sat,2026-12-12,,Beveren,,Cercle Brugge,,,,Head-to-Head,
14,Sat,2026-12-12,,Club Brugge,,Westerlo,,Jan Breydelstadion,,Head-to-Head,
14,Sat,2026-12-12,,La Louvière,,Antwerp,,Easi Arena,,Head-to-Head,
14,Sat,2026-12-12,,Mechelen,,Union SG,,AFAS Stadion,,Head-to-Head,
,,,,,,,,,,,
15,Sat,2026-12-19,,Westerlo,,Gent,,Het Kuipje,,Head-to-Head,
15,Sat,2026-12-19,,Beveren,,Mechelen,,,,Head-to-Head,
15,Sat,2026-12-19,,Standard Liège,,Anderlecht,,Stade Maurice Dufrasne,,Head-to-Head,
15,Sat,2026-12-19,,Antwerp,,OH Leuven,,Bosuilstadion,,Head-to-Head,
15,Sat,2026-12-19,,Charleroi,,Genk,,Stade du Pays de Charleroi,,Head-to-Head,
15,Sat,2026-12-19,,Lommel,,La Louvière,,Soevereinstadion,,Head-to-Head,
15,Sat,2026-12-19,,Union SG,,Club Brugge,,Stade Joseph Mariën,,Head-to-Head,
15,Sat,2026-12-19,,Cercle Brugge,,Zulte Waregem,,Jan Breydelstadion,,Head-to-Head,
15,Sat,2026-12-19,,Sint-Truiden,,Kortrijk,,Daio Wasabi Stayen Stadium,,Head-to-Head,
,,,,,,,,,,,
16,Sat,2026-12-26,,La Louvière,,Beveren,,Easi Arena,,Head-to-Head,
16,Sat,2026-12-26,,Anderlecht,,Sint-Truiden,,Lotto Park,,Head-to-Head,
16,Sat,2026-12-26,,Mechelen,,Zulte Waregem,,AFAS Stadion,,Head-to-Head,
16,Sat,2026-12-26,,Kortrijk,,Cercle Brugge,,,,Head-to-Head,
16,Sat,2026-12-26,,OH Leuven,,Westerlo,,King Power at Den Dreef Stadion,,Head-to-Head,
