Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sun,2027-01-10,14:30,ADO Den Haag,,Telstar,,Bingoal Stadion,,Head-to-Head,
18,Sun,2027-01-10,14:30,Feyenoord,,PSV,,Stadion Feijenoord,,Head-to-Head,
18,Sun,2027-01-10,16:45,Groningen,,Go Ahead Eagles,,Euroborg,,Head-to-Head,
,,,,,,,,,,,
19,Fri,2027-01-15,20:00,Heerenveen,,Sparta R.,,Abe Lenstra Stadion,,Head-to-Head,
19,Sat,2027-01-16,16:30,Telstar,,NEC Nijmegen,,BUKO Stadion,,Head-to-Head,
19,Sat,2027-01-16,18:45,Excelsior,,Feyenoord,,Van Donge & De Roo Stadion,,Head-to-Head,
19,Sat,2027-01-16,20:00,ADO Den Haag,,Zwolle,,Bingoal Stadion,,Head-to-Head,
19,Sat,2027-01-16,21:00,Fortuna Sittard,,PSV,,Fortuna Sittard Stadion,,Head-to-Head,
19,Sun,2027-01-17,12:15,Utrecht,,Twente,,Stadion Galgenwaard,,Head-to-Head,
19,Sun,2027-01-17,14:30,Ajax,,Groningen,,Johan Cruijff Arena,,Head-to-Head,
19,Sun,2027-01-17,14:30,Go Ahead Eagles,,AZ Alkmaar,,De Adelaarshorst,,Head-to-Head,
19,Sun,2027-01-17,16:45,Cambuur,,Willem II,,Kooi Stadion,,Head-to-Head,
,,,,,,,,,,,
20,Fri,2027-01-22,20:00,Excelsior,,Fortuna Sittard,,Van Donge & De Roo Stadion,,Head-to-Head,
20,Sat,2027-01-23,16:30,Ajax,,Telstar,,Johan Cruijff Arena,,Head-to-Head,
20,Sat,2027-01-23,18:45,Feyenoord,,Zwolle,,Stadion Feijenoord,,Head-to-Head,
20,Sat,2027-01-23,20:00,Twente,,Heerenveen,,De Grolsch Veste,,Head-to-Head,
20,Sat,2027-01-23,21:00,PSV,,ADO Den Haag,,Philips Stadion,,Head-to-Head,
20,Sun,2027-01-24,12:15,Go Ahead Eagles,,Cambuur,,De Adelaarshorst,,Head-to-Head,
20,Sun,2027-01-24,14:30,NEC Nijmegen,,Willem II,,Goffertstadion,,Head-to-Head,
20,Sun,2027-01-24,14:30,Sparta R.,,Groningen,,Sparta-Stadion Het Kasteel,,Head-to-Head,
20,Sun,2027-01-24,16:45,AZ Alkmaar,,Utrecht,,AFAS Stadion,,Head-to-Head,
,,,,,,,,,,,
21,Fri,2027-01-29,20:00,Utrecht,,Excelsior,,Stadion Galgenwaard,,Head-to-Head,
21,Sat,2027-01-30,16:30,Sparta R.,,Telstar,,Sparta-Stadion Het Kasteel,,Head-to-Head,
21,Sat,2027-01-30,18:45,ADO Den Haag,,Go Ahead Eagles,,Bingoal Stadion,,Head-to-Head,
21,Sat,2027-01-30,20:00,Willem II,,PSV,,Koning Willem II Stadion,,Head-to-Head,
21,Sat,2027-01-30,21:00,Zwolle,,Fortuna Sittard,,MAC³PARK Stadion,,Head-to-Head,
21,Sun,2027-01-31,12:15,Heerenveen,,Ajax,,Abe Lenstra Stadion,,Head-to-Head,
21,Sun,2027-01-31,14:30,AZ Alkmaar,,Feyenoord,,AFAS Stadion,,Head-to-Head,
21,Sun,2027-01-31,14:30,Twente,,Cambuur,,De Grolsch Veste,,Head-to-Head,
21,Sun,2027-01-31,16:45,Groningen,,NEC Nijmegen,,Euroborg,,Head-to-Head,
,,,,,,,,,,,
16,Sat,2027-02-06,,Twente,,Sparta R.,,De Grolsch Veste,,Head-to-Head,
,,,,,,,,,,,
22,Sat,2027-02-13,,Go Ahead Eagles,,Zwolle,,De Adelaarshorst,,Head-to-Head,
22,Sat,2027-02-13,,Excelsior,,Ajax,,Van Donge & De Roo Stadion,,Head-to-Head,
22,Sat,2027-02-13,,PSV,,Twente,,Philips Stadion,,Head-to-Head,
