Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Wed,2027-01-13,,Köln,,Dortmund,,RheinEnergieSTADION,,Head-to-Head,
16,Wed,2027-01-13,,Augsburg,,Gladbach,,WWK Arena,,Head-to-Head,
16,Wed,2027-01-13,,Union Berlin,,Paderborn 07,,Stadion An der Alten Försterei,,Head-to-Head,
16,Wed,2027-01-13,,RB Leipzig,,Stuttgart,,Red Bull Arena,,Head-to-Head,
16,Wed,2027-01-13,,Elversberg,,Frankfurt,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
,,,,,,,,,,,
17,Sat,2027-01-16,,Dortmund,,Freiburg,,Signal Iduna Park,,Head-to-Head,
17,Sat,2027-01-16,,Paderborn 07,,Köln,,Home Deluxe Arena,,Head-to-Head,
17,Sat,2027-01-16,,Frankfurt,,Bayern Munich,,Deutsche Bank Park,,Head-to-Head,
17,Sat,2027-01-16,,Hoffenheim,,RB Leipzig,,PreZero Arena,,Head-to-Head,
17,Sat,2027-01-16,,Hamburger SV,,Augsburg,,Volksparkstadion,,Head-to-Head,
17,Sat,2027-01-16,,Leverkusen,,Schalke 04,,BayArena,,Head-to-Head,
17,Sat,2027-01-16,,Werder Bremen,,Elversberg,,Weserstadion,,Head-to-Head,
17,Sat,2027-01-16,,Stuttgart,,Mainz 05,,MHPArena,,Head-to-Head,
17,Sat,2027-01-16,,Gladbach,,Union Berlin,,Stadion im Borussia-Park,,Head-to-Head,
,,,,,,,,,,,
18,Sat,2027-01-23,,Hamburger SV,,Dortmund,,Volksparkstadion,,Head-to-Head,
18,Sat,2027-01-23,,Hoffenheim,,Köln,,PreZero Arena,,Head-to-Head,
18,Sat,2027-01-23,,Paderborn 07,,Mainz 05,,Home Deluxe Arena,,Head-to-Head,
18,Sat,2027-01-23,,Schalke 04,,Augsburg,,Veltins-Arena,,Head-to-Head,
18,Sat,2027-01-23,,Stuttgart,,Bayern Munich,,MHPArena,,Head-to-Head,
18,Sat,2027-01-23,,Leverkusen,,Elversberg,,BayArena,,Head-to-Head,
18,Sat,2027-01-23,,Gladbach,,RB Leipzig,,Stadion im Borussia-Park,,Head-to-Head,
